"","plot_ID","LAT","LON"
"2324","51_91_30",38.212325,-79.489617
"2325","51_165_42",38.58071,-79.136876
"2326","51_17_143",37.926821,-79.800348
"2327","51_5_112",37.702829,-80.221619
"2328","51_155_74",37.030602,-80.879085
"2329","51_21_73",37.117126,-81.154349
"2330","51_191_111",36.672959,-81.682076
"2331","51_17_98",38.08362,-79.566318
"2332","51_91_92",38.540456,-79.638834
"2333","51_171_93",38.799452,-78.516846
"2334","51_139_62",38.57275,-78.652069
"2335","51_165_155",38.434009,-78.725115
"2336","51_163_113",37.891435,-79.162396
"2337","51_15_191",38.360341,-79.263018
"2338","51_17_24",38.166446,-79.575165
"2339","51_5_64",37.822239,-80.18109
"2340","51_23_90",37.535487,-79.519439
"2341","51_15_188",38.450224,-79.211942
"2342","51_91_79",38.226648,-79.487113
"2343","51_17_103",37.924086,-79.632702
"2344","51_17_119",38.080089,-79.725085
"2345","51_5_110",37.630294,-80.116107
"2346","51_71_73",37.456577,-80.55106
"2347","47_91_59",36.320022,-81.888896
"2348","47_91_61",36.408844,-82.000188
"2349","47_91_62",36.572838,-81.695906
"2350","47_19_66",36.488936,-82.002278
"2351","47_19_68",36.237805,-82.111252
"2352","47_19_70",36.411453,-82.159354
"2353","47_29_80",35.724826,-83.253165
"2354","47_59_78",36.101149,-82.638624
"2355","47_59_83",36.015722,-82.801969
"2356","47_59_84",35.974863,-82.859936
"2357","47_123_134",35.410622,-84.147118
"2358","47_171_28",36.099246,-82.429437
"2359","47_171_30",36.16384,-82.231197
"2360","47_139_30",35.125745,-84.463335
"2361","47_139_34",35.089877,-84.497367
"2362","47_139_36",35.040561,-84.485843
"2363","47_123_21",35.394274,-84.056645
"2364","47_139_21",35.158948,-84.478771
"2365","47_179_8",36.17372,-82.497432
"2366","47_163_8",36.501945,-82.013816
"2367","47_19_22",36.196979,-82.160697
"2368","47_91_9",36.542677,-81.720838
"2369","47_163_3",36.573476,-81.975338
"2370","47_163_7",36.552543,-82.018427
"2371","47_19_19",36.275095,-82.10077
"2372","47_29_18",35.79107,-82.981791
"2373","47_123_27",35.327264,-84.095981
"2374","47_123_29",35.27844,-84.072929
"2375","47_123_46",35.328,-84.408955
"2376","47_123_16",35.431282,-84.018999
"2377","47_123_23",35.350464,-84.040519
"2378","47_163_9",36.477865,-82.064116
"2379","47_179_17",36.153621,-82.525433
"2380","47_179_13",36.229929,-82.371196
"2381","47_123_37",35.25086,-84.127568
"2382","47_139_17",35.191536,-84.435605
"2383","47_139_28",35.169502,-84.57538
"2384","47_139_47",35.009591,-84.656259
"2385","47_171_11",36.177129,-82.3204
"2386","47_171_14",36.156937,-82.356661
"2387","47_59_7",36.092431,-82.651543
"2388","47_29_13",35.951291,-83.034899
"2389","47_139_50",35.143771,-84.633628
"2390","47_59_9",36.078851,-82.697002
"2391","47_91_12",36.51694,-81.883837
"2392","47_123_41",35.211191,-84.294359
"2393","47_29_19",35.867817,-83.071383
"2394","47_171_6",36.246327,-82.286392
"2395","47_91_10",36.54064,-81.82656
"2396","47_91_15",36.601769,-81.846858
"2397","47_123_34",35.405971,-84.189224
"2398","47_123_35",35.385404,-84.234567
"2399","47_19_16",36.352432,-82.081265
"2400","47_171_16",36.118312,-82.495285
"2401","47_139_40",35.015763,-84.526829
"2402","47_155_18",35.704485,-83.354848
"2403","47_155_67",35.710555,-83.399905
"2404","47_155_68",35.666778,-83.461237
"2405","47_155_73",35.666789,-83.615436
"2406","47_139_110",35.174446,-84.406975
"2407","47_139_111",35.103827,-84.426115
"2408","47_139_112",34.99484,-84.465819
"2409","47_139_113",35.261854,-84.515494
"2410","47_139_114",35.095703,-84.573899
"2411","47_139_115",35.173122,-84.567959
"2412","47_139_116",35.004855,-84.620471
"2413","47_19_37",36.232586,-82.051933
"2414","47_107_18",35.333439,-84.429314
"2415","47_19_28",36.301136,-82.132528
"2416","47_139_65",35.138756,-84.352462
"2417","47_19_32",36.245802,-82.193453
"2418","47_91_24",36.443366,-81.94716
"2419","47_163_32",36.46703,-82.087217
"2420","47_9_67",35.577009,-83.765373
"2421","47_9_70",35.576029,-83.936596
"2422","47_123_72",35.397757,-84.254977
"2423","47_123_74",35.220928,-84.314243
"2424","47_163_72",36.555775,-81.960602
"2425","47_9_52",35.616935,-83.666246
"2426","47_9_54",35.610695,-83.769727
"2427","47_9_55",35.530786,-83.828621
"2428","47_9_58",35.616786,-83.921819
"2429","47_9_61",35.5404,-83.98039
"2430","47_163_16",36.41968,-82.168414
"2431","47_163_25",36.419151,-82.218579
