,plot_ID,LON,LAT
150,39_167_2121,-81.1744001979534,39.56843976200026

151,39_127_5693,-82.04548933834504,39.59279676567212

152,39_9_3039,-82.15905194914228,39.44427778838306

153,39_111_3233,-81.24089950046991,39.65992090171223

154,39_127_2746,-82.26782749141339,39.61997382683857

155,39_145_4087,-82.70209129604586,38.70959889445311

156,39_121_2759,-81.2922134730446,39.60220154112433

157,39_167_5386,-81.17875780729919,39.49463566015002

158,39_167_4441,-81.22391611715649,39.41992884155654

159,39_53_2769,-82.50614129579974,38.83981886696332

160,39_87_1349,-82.4995235621909,38.74750103501636

161,39_87_3919,-82.61170450478686,38.59165016066192

162,39_111_4244,-81.1647633237122,39.59261506527121

163,39_9_3882,-82.20833930652992,39.46138479796652

164,39_163_8639,-82.5921741935038,39.31651102208909

165,39_73_8322,-82.38064642198657,39.40481812784626

166,39_87_8381,-82.55954766972097,38.67818891921118

167,39_73_8307,-82.27944929267287,39.508389435578884

168,39_87_12767,-82.56365395553219,38.77625236516568

169,39_127_13401,-82.0499896265712,39.61721258526003

170,39_167_14051,-81.29364451764968,39.46177890823624

171,39_145_13694,-82.75314263014987,38.73917186543159

172,39_87_12793,-82.66081970300893,38.62601572633585

173,39_127_3899,-82.1832125862702,39.628684289856615

174,39_9_1903,-82.1724245901745,39.44149796019457

175,39_111_1027,-81.16377708059117,39.72456815984485

176,39_87_4283,-82.4944848931567,38.71607878140271

177,39_9_2639,-82.0671668642367,39.54866438090345

178,39_73_2719,-82.23734538061204,39.47705542965824

179,39_87_2361,-82.59677754491885,38.78143732591997

180,39_87_927,-82.623130255437,38.65233470155983

181,39_111_3729,-81.16081813442747,39.700179601241274

182,39_111_1202,-81.02160523900129,39.59143248500809

183,39_127_2058,-82.22716244190312,39.56218333813282

184,39_167_1630,-81.25286848934637,39.446166005324834

185,39_87_3339,-82.59395293487223,38.83104128619429

186,39_87_6997,-82.61830909380214,38.75934700321666

187,39_87_5020,-82.6634094807146,38.68279115975524

